task_id,status,input_tokens,output_tokens,total_tokens,calls,judgment_file
T01_R01_C01,ok,5813,959,6772,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C01.judgment.json
T01_R01_C01_A01,ok,12164,477,12641,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C01_A01.judgment.json
T01_R01_C01_A02,ok,7159,671,7830,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C01_A02.judgment.json
T01_R01_C01_A03,ok,5992,711,6703,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C01_A03.judgment.json
T01_R01_C02,ok,14774,944,15718,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C02.judgment.json
T01_R01_C02_A01,ok,19526,906,20432,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C02_A01.judgment.json
T01_R01_C02_A02,ok,15211,1858,17069,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C02_A02.judgment.json
T01_R01_C02_A03,ok,14050,1105,15155,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C02_A03.judgment.json
T01_R01_C03,ok,7693,727,8420,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C03.judgment.json
T01_R01_C03_A01,ok,12448,756,13204,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C03_A01.judgment.json
T01_R01_C03_A02,ok,12527,786,13313,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C03_A02.judgment.json
T01_R01_C03_A03,ok,12126,3147,15273,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C03_A03.judgment.json
T01_R02_C01,ok,10580,762,11342,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C01.judgment.json
T01_R02_C01_A01,ok,11942,979,12921,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C01_A01.judgment.json
T01_R02_C01_A02,ok,15133,693,15826,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C01_A02.judgment.json
T01_R02_C01_A03,ok,10437,1063,11500,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C01_A03.judgment.json
T01_R02_C02,ok,29574,950,30524,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C02.judgment.json
T01_R02_C02_A01,ok,33093,868,33961,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C02_A01.judgment.json
T01_R02_C02_A02,ok,32898,2379,35277,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C02_A02.judgment.json
T01_R02_C02_A03,ok,20043,856,20899,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C02_A03.judgment.json
T01_R02_C03,ok,20967,850,21817,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C03.judgment.json
T01_R02_C03_A01,ok,29495,797,30292,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C03_A01.judgment.json
T01_R02_C03_A02,ok,29097,756,29853,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C03_A02.judgment.json
T01_R02_C03_A03,ok,30990,1644,32634,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C03_A03.judgment.json
T02_R01_C01,ok,11401,1120,12521,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C01.judgment.json
T02_R01_C01_A01,ok,16913,1273,18186,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C01_A01.judgment.json
T02_R01_C01_A02,ok,12629,1090,13719,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C01_A02.judgment.json
T02_R01_C01_A03,ok,12016,1382,13398,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C01_A03.judgment.json
T02_R01_C02,ok,18713,1042,19755,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C02.judgment.json
T02_R01_C02_A01,ok,24147,1327,25474,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C02_A01.judgment.json
T02_R01_C02_A02,ok,22193,1171,23364,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C02_A02.judgment.json
T02_R01_C02_A03,ok,22703,645,23348,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C02_A03.judgment.json
T02_R01_C03,ok,8549,1148,9697,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C03.judgment.json
T02_R01_C03_A01,ok,9117,1436,10553,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C03_A01.judgment.json
T02_R01_C03_A02,ok,12652,1431,14083,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C03_A02.judgment.json
T02_R01_C03_A03,ok,10312,1240,11552,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C03_A03.judgment.json
T02_R02_C01,ok,23270,1153,24423,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R02_C01.judgment.json
T02_R02_C01_A01,ok,15883,789,16672,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R02_C01_A01.judgment.json
T02_R02_C01_A02,ok,18011,801,18812,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R02_C01_A02.judgment.json
T02_R02_C01_A03,ok,20142,806,20948,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R02_C01_A03.judgment.json
T02_R02_C02,ok,11758,507,12265,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R02_C02.judgment.json
T02_R02_C02_A01,ok,9864,593,10457,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R02_C02_A01.judgment.json
T02_R02_C02_A02,ok,8422,582,9004,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R02_C02_A02.judgment.json
