task_id,status,input_tokens,output_tokens,total_tokens,calls,judgment_file
T01_R01_C01,ok,5567,837,6404,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C01.judgment.json
T01_R01_C01_A01,ok,11104,2329,13433,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C01_A01.judgment.json
T01_R01_C01_A02,ok,6839,639,7478,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C01_A02.judgment.json
T01_R01_C01_A03,ok,5675,743,6418,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C01_A03.judgment.json
T01_R01_C02,ok,14214,1459,15673,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C02.judgment.json
T01_R01_C02_A01,ok,18032,936,18968,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C02_A01.judgment.json
T01_R01_C02_A02,ok,14360,1496,15856,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C02_A02.judgment.json
T01_R01_C02_A03,ok,13333,1136,14469,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C02_A03.judgment.json
T01_R01_C03,ok,7325,715,8040,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C03.judgment.json
T01_R01_C03_A01,ok,11119,2016,13135,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C03_A01.judgment.json
T01_R01_C03_A02,ok,11355,1559,12914,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C03_A02.judgment.json
T01_R01_C03_A03,ok,10590,3042,13632,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R01_C03_A03.judgment.json
T01_R02_C01,ok,10220,549,10769,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C01.judgment.json
T01_R02_C01_A01,ok,11595,2066,13661,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C01_A01.judgment.json
T01_R02_C01_A02,ok,13829,901,14730,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C01_A02.judgment.json
T01_R02_C01_A03,ok,10075,1407,11482,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C01_A03.judgment.json
T01_R02_C02,ok,27625,1101,28726,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C02.judgment.json
T01_R02_C02_A01,ok,30678,1317,31995,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C02_A01.judgment.json
T01_R02_C02_A02,ok,30529,964,31493,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C02_A02.judgment.json
T01_R02_C02_A03,ok,18973,1510,20483,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C02_A03.judgment.json
T01_R02_C03,ok,19935,1246,21181,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C03.judgment.json
T01_R02_C03_A01,ok,27305,1362,28667,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C03_A01.judgment.json
T01_R02_C03_A02,ok,26533,2886,29419,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C03_A02.judgment.json
T01_R02_C03_A03,ok,28456,862,29318,1,OPENCODE_DEEPSEEK_V4_FLASH__T01_R02_C03_A03.judgment.json
T02_R01_C01,ok,10860,785,11645,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C01.judgment.json
T02_R01_C01_A01,ok,16524,1123,17647,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C01_A01.judgment.json
T02_R01_C01_A02,ok,11977,963,12940,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C01_A02.judgment.json
T02_R01_C01_A03,ok,11597,874,12471,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C01_A03.judgment.json
T02_R01_C02,ok,17521,1493,19014,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C02.judgment.json
T02_R01_C02_A01,ok,21273,3798,25071,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C02_A01.judgment.json
T02_R01_C02_A02,ok,20897,1022,21919,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C02_A02.judgment.json
T02_R01_C02_A03,ok,21535,1492,23027,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C02_A03.judgment.json
T02_R01_C03,ok,8235,1455,9690,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C03.judgment.json
T02_R01_C03_A01,ok,8621,1074,9695,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C03_A01.judgment.json
T02_R01_C03_A02,ok,11226,2599,13825,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C03_A02.judgment.json
T02_R01_C03_A03,ok,9808,1986,11794,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R01_C03_A03.judgment.json
T02_R02_C01,ok,22372,832,23204,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R02_C01.judgment.json
T02_R02_C01_A01,ok,14852,1665,16517,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R02_C01_A01.judgment.json
T02_R02_C01_A02,ok,16803,1001,17804,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R02_C01_A02.judgment.json
T02_R02_C01_A03,ok,18871,1127,19998,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R02_C01_A03.judgment.json
T02_R02_C02,ok,10724,1126,11850,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R02_C02.judgment.json
T02_R02_C02_A01,ok,9329,1147,10476,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R02_C02_A01.judgment.json
T02_R02_C02_A02,ok,7792,1255,9047,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R02_C02_A02.judgment.json
T02_R02_C02_A03,ok,14692,881,15573,1,OPENCODE_DEEPSEEK_V4_FLASH__T02_R02_C02_A03.judgment.json
