task_id,status,input_tokens,output_tokens,total_tokens,calls,judgment_file
T01_R01_C01,ok,5813,875,6688,1,DEEPSEEK_V4_FLASH__T01_R01_C01.judgment.json
T01_R01_C01_A01,ok,12164,1080,13244,1,DEEPSEEK_V4_FLASH__T01_R01_C01_A01.judgment.json
T01_R01_C01_A02,ok,7159,1076,8235,1,DEEPSEEK_V4_FLASH__T01_R01_C01_A02.judgment.json
T01_R01_C01_A03,ok,5992,1335,7327,1,DEEPSEEK_V4_FLASH__T01_R01_C01_A03.judgment.json
T01_R01_C02,ok,14774,599,15373,1,DEEPSEEK_V4_FLASH__T01_R01_C02.judgment.json
T01_R01_C02_A01,ok,19526,838,20364,1,DEEPSEEK_V4_FLASH__T01_R01_C02_A01.judgment.json
T01_R01_C02_A02,ok,12193,1097,13290,1,DEEPSEEK_V4_FLASH__T01_R01_C02_A02.judgment.json
T01_R01_C02_A03,ok,14050,1316,15366,1,DEEPSEEK_V4_FLASH__T01_R01_C02_A03.judgment.json
T01_R01_C03,ok,7693,709,8402,1,DEEPSEEK_V4_FLASH__T01_R01_C03.judgment.json
T01_R01_C03_A01,ok,12448,1034,13482,1,DEEPSEEK_V4_FLASH__T01_R01_C03_A01.judgment.json
T01_R01_C03_A02,ok,12527,935,13462,1,DEEPSEEK_V4_FLASH__T01_R01_C03_A02.judgment.json
T01_R01_C03_A03,ok,12126,2423,14549,1,DEEPSEEK_V4_FLASH__T01_R01_C03_A03.judgment.json
T01_R02_C01,ok,10580,1266,11846,1,DEEPSEEK_V4_FLASH__T01_R02_C01.judgment.json
T01_R02_C01_A01,ok,11942,2268,14210,1,DEEPSEEK_V4_FLASH__T01_R02_C01_A01.judgment.json
T01_R02_C01_A02,ok,15133,813,15946,1,DEEPSEEK_V4_FLASH__T01_R02_C01_A02.judgment.json
T01_R02_C01_A03,ok,10437,1320,11757,1,DEEPSEEK_V4_FLASH__T01_R02_C01_A03.judgment.json
T01_R02_C02,ok,29574,1632,31206,1,DEEPSEEK_V4_FLASH__T01_R02_C02.judgment.json
T01_R02_C02_A01,ok,33093,1049,34142,1,DEEPSEEK_V4_FLASH__T01_R02_C02_A01.judgment.json
